Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201904,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,268624
201905,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,257574
201906,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,296899
201907,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,322605
201908,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,341150
201909,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,233633
201910,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,284875
201911,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,273015
201912,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,286655
202001,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,231547
202002,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,215463
202003,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,98620
202004,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,7323
202005,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,7115
202006,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,10522
